,sentence,words,words_tag
18,가장 싼 크라상쁘띠는 수량 어느 정도 남았어,"['가장', ' ', '싼', ' ', '크라상쁘띠', '는', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
19,가장 싼 이마트 진심을 담은 쫄깃한 슈레드 모짜렐라 치즈는 수량 어느 정도 존재해,"['가장', ' ', '싼', ' ', '이마트', ' ', '진심을', ' ', '담은', ' ', '쫄깃한', ' ', '슈레드', ' ', '모짜렐라', ' ', '치즈', '는', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
20,가장 싼 베이블레이드 스핀캔디는 수량 어느 정도 살 수 있어,"['가장', ' ', '싼', ' ', '베이블레이드', ' ', '스핀캔디', '는', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
21,가장 싼 동원 리얼통살새우까스는 수량 어느 정도 팔고 있어,"['가장', ' ', '싼', ' ', '동원', ' ', '리얼통살새우까스', '는', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
22,가장 싼 돌 워터젤리복숭아는 얼마나 있어,"['가장', ' ', '싼', ' ', '돌', ' ', '워터젤리복숭아', '는', ' ', '얼마나', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-']"
23,가장 싼 꼬깔콘 매콤달콤한맛은 얼마나 남았어,"['가장', ' ', '싼', ' ', '꼬깔콘', ' ', '매콤달콤한맛', '은', ' ', '얼마나', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-']"
24,가장 싼 돌핀 폴라레티헬로썸머는 얼마나 존재해,"['가장', ' ', '싼', ' ', '돌핀', ' ', '폴라레티헬로썸머', '는', ' ', '얼마나', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-']"
25,가장 싼 프랑스 프리미엄 머핀 초콜릿 헤이즐넛필링 냉동빵은 얼마나 살 수 있어,"['가장', ' ', '싼', ' ', '프랑스', ' ', '프리미엄', ' ', '머핀', ' ', '초콜릿', ' ', '헤이즐넛필링', ' ', '냉동빵', '은', ' ', '얼마나', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
26,가장 싼 피코크 겹겹이돈까스는 얼마나 팔고 있어,"['가장', ' ', '싼', ' ', '피코크', ' ', '겹겹이돈까스', '는', ' ', '얼마나', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
27,가장 싼 구운 에어 치킨 닭다리살국내산은 재고 몇 개 있어,"['가장', ' ', '싼', ' ', '구운', ' ', '에어', ' ', '치킨', ' ', '닭다리살국내산', '은', ' ', '재고', ' ', '몇', ' ', '개', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
28,가장 싼 건고사리나물볶음은 재고 몇 개 남았어,"['가장', ' ', '싼', ' ', '건고사리나물볶음', '은', ' ', '재고', ' ', '몇', ' ', '개', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
29,가장 싼 매일 아몬드브리즈 언스위트는 재고 몇 개 존재해,"['가장', ' ', '싼', ' ', '매일', ' ', '아몬드브리즈', ' ', '언스위트', '는', ' ', '재고', ' ', '몇', ' ', '개', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
30,가장 싼 죠스바 아이스크림은 재고 몇 개 살 수 있어,"['가장', ' ', '싼', ' ', '죠스바', ' ', '아이스크림', '은', ' ', '재고', ' ', '몇', ' ', '개', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
31,가장 싼 유기농 쌀로 만든 쌀이팡 자색고구마는 재고 몇 개 팔고 있어,"['가장', ' ', '싼', ' ', '유기농', ' ', '쌀로', ' ', '만든', ' ', '쌀이팡', ' ', '자색고구마', '는', ' ', '재고', ' ', '몇', ' ', '개', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
32,가장 싼 풍림 반숙계란장은 재고 수량 어느 정도 있어,"['가장', ' ', '싼', ' ', '풍림', ' ', '반숙계란장', '은', ' ', '재고', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
33,가장 싼 포스 마이쮸딸기는 재고 수량 어느 정도 남았어,"['가장', ' ', '싼', ' ', '포스', ' ', '마이쮸딸기', '는', ' ', '재고', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
34,가장 싼 백김치는 재고 수량 어느 정도 존재해,"['가장', ' ', '싼', ' ', '백김치', '는', ' ', '재고', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
35,가장 싼 씨제이 비비고 김치볶음은 재고 수량 어느 정도 살 수 있어,"['가장', ' ', '싼', ' ', '씨제이', ' ', '비비고', ' ', '김치볶음', '은', ' ', '재고', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
36,가장 싼 사과블루베리 동결건조 스낵은 재고 수량 어느 정도 팔고 있어,"['가장', ' ', '싼', ' ', '사과블루베리', ' ', '동결건조', ' ', '스낵', '은', ' ', '재고', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
37,가장 싼 피코크 저지방 자연 콘 스낵은 재고 얼마나 있어,"['가장', ' ', '싼', ' ', '피코크', ' ', '저지방', ' ', '자연', ' ', '콘', ' ', '스낵', '은', ' ', '재고', ' ', '얼마나', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
38,가장 싼 김해축협 한돈양념불고기냉동은 재고 얼마나 남았어,"['가장', ' ', '싼', ' ', '김해축협', ' ', '한돈양념불고기냉동', '은', ' ', '재고', ' ', '얼마나', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
39,가장 싼 숙 장아찌 돼지감자는 재고 얼마나 존재해,"['가장', ' ', '싼', ' ', '숙', ' ', '장아찌', ' ', '돼지감자', '는', ' ', '재고', ' ', '얼마나', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
40,가장 싼 코피코 캔디 카푸치노는 재고 얼마나 살 수 있어,"['가장', ' ', '싼', ' ', '코피코', ' ', '캔디', ' ', '카푸치노', '는', ' ', '재고', ' ', '얼마나', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
41,가장 싼 하루노유키 바움쿠헨 행운의 케익 플레인은 재고 얼마나 팔고 있어,"['가장', ' ', '싼', ' ', '하루노유키', ' ', '바움쿠헨', ' ', '행운의', ' ', '케익', ' ', '플레인', '은', ' ', '재고', ' ', '얼마나', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
42,가장 싼 삼립 냉동 블루베리 요거트 왕슈는 남은 물건 몇 개 있어,"['가장', ' ', '싼', ' ', '삼립', ' ', '냉동', ' ', '블루베리', ' ', '요거트', ' ', '왕슈', '는', ' ', '남은', ' ', '물건', ' ', '몇', ' ', '개', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
43,가장 싼 츄파춥스 미니언즈는 남은 물건 몇 개 남았어,"['가장', ' ', '싼', ' ', '츄파춥스', ' ', '미니언즈', '는', ' ', '남은', ' ', '물건', ' ', '몇', ' ', '개', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
44,가장 싼 라카아메는 남은 물건 몇 개 존재해,"['가장', ' ', '싼', ' ', '라카아메', '는', ' ', '남은', ' ', '물건', ' ', '몇', ' ', '개', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
45,가장 싼 망고 소르베 미니컵은 남은 물건 몇 개 살 수 있어,"['가장', ' ', '싼', ' ', '망고', ' ', '소르베', ' ', '미니컵', '은', ' ', '남은', ' ', '물건', ' ', '몇', ' ', '개', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
46,가장 싼 시나몬슈가 페스트리스틱은 남은 물건 몇 개 팔고 있어,"['가장', ' ', '싼', ' ', '시나몬슈가', ' ', '페스트리스틱', '은', ' ', '남은', ' ', '물건', ' ', '몇', ' ', '개', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
47,가장 싼 에루 키즈 포션 치즈는 남은 물건 수량 어느 정도 있어,"['가장', ' ', '싼', ' ', '에루', ' ', '키즈', ' ', '포션', ' ', '치즈', '는', ' ', '남은', ' ', '물건', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
48,가장 싼 포스 리콜라 크랜베리는 남은 물건 수량 어느 정도 남았어,"['가장', ' ', '싼', ' ', '포스', ' ', '리콜라', ' ', '크랜베리', '는', ' ', '남은', ' ', '물건', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
49,가장 싼 소프트제리롤 월넛파운드는 남은 물건 수량 어느 정도 존재해,"['가장', ' ', '싼', ' ', '소프트제리롤', ' ', '월넛파운드', '는', ' ', '남은', ' ', '물건', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
50,가장 싼 존쿡 이탈리안살라미는 남은 물건 수량 어느 정도 살 수 있어,"['가장', ' ', '싼', ' ', '존쿡', ' ', '이탈리안살라미', '는', ' ', '남은', ' ', '물건', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
51,가장 싼 녹차생크림단팥빵은 남은 물건 수량 어느 정도 팔고 있어,"['가장', ' ', '싼', ' ', '녹차생크림단팥빵', '은', ' ', '남은', ' ', '물건', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
52,가장 싼 아이스노이에 말차 아이스크림은 남은 물건 얼마나 있어,"['가장', ' ', '싼', ' ', '아이스노이에', ' ', '말차', ' ', '아이스크림', '은', ' ', '남은', ' ', '물건', ' ', '얼마나', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
53,가장 싼 피코크 정통 인도식 커리 징가 마살라는 남은 물건 얼마나 남았어,"['가장', ' ', '싼', ' ', '피코크', ' ', '정통', ' ', '인도식', ' ', '커리', ' ', '징가', ' ', '마살라', '는', ' ', '남은', ' ', '물건', ' ', '얼마나', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
54,가장 싼 피코크 제대로 맛을 내는 순두부찌개 양념은 남은 물건 얼마나 존재해,"['가장', ' ', '싼', ' ', '피코크', ' ', '제대로', ' ', '맛을', ' ', '내는', ' ', '순두부찌개', ' ', '양념', '은', ' ', '남은', ' ', '물건', ' ', '얼마나', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
55,가장 싼 속초 두레찬 낙지젓갈은 남은 물건 얼마나 살 수 있어,"['가장', ' ', '싼', ' ', '속초', ' ', '두레찬', ' ', '낙지젓갈', '은', ' ', '남은', ' ', '물건', ' ', '얼마나', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
56,가장 싼 노브랜드 팝콘은 남은 물건 얼마나 팔고 있어,"['가장', ' ', '싼', ' ', '노브랜드', ' ', '팝콘', '은', ' ', '남은', ' ', '물건', ' ', '얼마나', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
57,가장 싼 해태 고향만두는 물품 몇 개 있어,"['가장', ' ', '싼', ' ', '해태', ' ', '고향만두', '는', ' ', '물품', ' ', '몇', ' ', '개', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
58,가장 싼 피코크 사천 왕 만두는 물품 몇 개 남았어,"['가장', ' ', '싼', ' ', '피코크', ' ', '사천', ' ', '왕', ' ', '만두', '는', ' ', '물품', ' ', '몇', ' ', '개', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
59,가장 싼 비타민디는 물품 몇 개 존재해,"['가장', ' ', '싼', ' ', '비타민디', '는', ' ', '물품', ' ', '몇', ' ', '개', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
60,가장 싼 오뚜기 맛있는 오리지널 핫도그는 물품 몇 개 살 수 있어,"['가장', ' ', '싼', ' ', '오뚜기', ' ', '맛있는', ' ', '오리지널', ' ', '핫도그', '는', ' ', '물품', ' ', '몇', ' ', '개', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
61,가장 싼 스코 롯데아이스브레이커스듀오그레이프는 물품 몇 개 팔고 있어,"['가장', ' ', '싼', ' ', '스코', ' ', '롯데아이스브레이커스듀오그레이프', '는', ' ', '물품', ' ', '몇', ' ', '개', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
62,가장 싼 동원냉장냉동 본엠 통그릴부어스트는 물품 수량 어느 정도 있어,"['가장', ' ', '싼', ' ', '동원냉장냉동', ' ', '본엠', ' ', '통그릴부어스트', '는', ' ', '물품', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
63,가장 싼 호두파이 대는 물품 수량 어느 정도 남았어,"['가장', ' ', '싼', ' ', '호두파이', ' ', '대', '는', ' ', '물품', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
64,가장 싼 해물완자는 물품 수량 어느 정도 존재해,"['가장', ' ', '싼', ' ', '해물완자', '는', ' ', '물품', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
65,가장 싼 삼립 뉴욕치즈무스는 물품 수량 어느 정도 살 수 있어,"['가장', ' ', '싼', ' ', '삼립', ' ', '뉴욕치즈무스', '는', ' ', '물품', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
66,가장 싼 씨제이 맥스칩 오리지널가든은 물품 수량 어느 정도 팔고 있어,"['가장', ' ', '싼', ' ', '씨제이', ' ', '맥스칩', ' ', '오리지널가든', '은', ' ', '물품', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
67,가장 싼 늘참 고추장 삼겹 구이는 물품 얼마나 있어,"['가장', ' ', '싼', ' ', '늘참', ' ', '고추장', ' ', '삼겹', ' ', '구이', '는', ' ', '물품', ' ', '얼마나', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
68,가장 싼 매운새우깡은 물품 얼마나 남았어,"['가장', ' ', '싼', ' ', '매운새우깡', '은', ' ', '물품', ' ', '얼마나', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-']"
69,가장 싼 씨제이 쁘띠첼 요거젤리 복숭아는 물품 얼마나 존재해,"['가장', ' ', '싼', ' ', '씨제이', ' ', '쁘띠첼', ' ', '요거젤리', ' ', '복숭아', '는', ' ', '물품', ' ', '얼마나', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
70,가장 싼 서울우유 멸균우유는 물품 얼마나 살 수 있어,"['가장', ' ', '싼', ' ', '서울우유', ' ', '멸균우유', '는', ' ', '물품', ' ', '얼마나', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
71,가장 싼 미니프레즐 솔트는 물품 얼마나 팔고 있어,"['가장', ' ', '싼', ' ', '미니프레즐', ' ', '솔트', '는', ' ', '물품', ' ', '얼마나', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
72,가장 싼 마스카포네와 크림 치즈가 어우러진 정통 수제 치즈케익 치즈트랩 더블프로마쥬 치즈케익세트는 재고품 몇 개 있어,"['가장', ' ', '싼', ' ', '마스카포네와', ' ', '크림', ' ', '치즈가', ' ', '어우러진', ' ', '정통', ' ', '수제', ' ', '치즈케익', ' ', '치즈트랩', ' ', '더블프로마쥬', ' ', '치즈케익세트', '는', ' ', '재고품', ' ', '몇', ' ', '개', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
